Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
826591,-1.09,0.53,9.08,0.03,-0.01,0.0
826601,-1.1,0.52,9.08,0.03,-0.01,0.0
826611,-1.09,0.52,9.07,0.03,-0.01,0.0
826621,-1.11,0.51,9.06,0.03,-0.01,0.0
826631,-1.11,0.54,9.07,0.03,-0.01,0.0
826641,-1.11,0.52,9.09,0.03,-0.01,0.0
826651,-1.1,0.52,9.09,0.03,-0.01,0.0
826661,-1.09,0.52,9.1,0.03,-0.01,0.0
826671,-1.08,0.49,9.08,0.03,-0.01,0.0
826681,-1.08,0.51,9.07,0.03,-0.01,0.0
826691,-1.07,0.51,9.07,0.03,-0.01,0.0
826701,-1.08,0.49,9.09,0.03,-0.01,0.0
826711,-1.1,0.51,9.07,0.03,-0.01,0.0
826721,-1.11,0.51,9.07,0.03,-0.01,0.0
826731,-1.11,0.51,9.08,0.03,-0.01,0.0
826741,-1.09,0.5,9.06,0.03,-0.01,0.0
826751,-1.08,0.51,9.06,0.03,-0.01,0.0
826761,-1.08,0.51,9.09,0.03,-0.01,0.0
826771,-1.09,0.52,9.07,0.03,-0.01,0.0
826781,-1.09,0.49,9.08,0.03,-0.01,0.0
826791,-1.1,0.49,9.08,0.03,-0.01,0.0
826801,-1.1,0.5,9.07,0.03,-0.01,0.0
826811,-1.1,0.52,9.07,0.03,-0.01,0.0
826821,-1.11,0.53,9.07,0.03,-0.01,0.0
826831,-1.09,0.53,9.09,0.03,-0.01,0.0
826841,-1.07,0.52,9.11,0.03,-0.01,0.0
826851,-1.06,0.54,9.09,0.03,-0.01,0.01
826861,-1.07,0.53,9.11,0.03,-0.01,0.0
826871,-1.09,0.51,9.07,0.03,-0.01,0.0
826881,-1.09,0.51,9.07,0.03,-0.01,0.0
826891,-1.1,0.49,9.07,0.03,-0.01,0.0
826901,-1.1,0.48,9.1,0.03,-0.01,0.0
826911,-1.09,0.49,9.08,0.03,-0.01,0.0
826921,-1.1,0.49,9.08,0.03,-0.01,0.0
826931,-1.08,0.47,9.09,0.03,-0.01,0.0
826941,-1.09,0.5,9.11,0.03,-0.01,0.0
826951,-1.09,0.53,9.1,0.03,-0.01,0.0
826961,-1.07,0.52,9.07,0.03,-0.01,0.0
826971,-1.07,0.54,9.06,0.03,-0.01,0.01
826981,-1.07,0.53,9.04,0.03,-0.0,0.0
826991,-1.1,0.53,9.06,0.03,-0.0,0.0
827001,-1.11,0.51,9.06,0.03,-0.01,0.0
827011,-1.08,0.5,9.06,0.03,-0.02,0.01
827021,-1.09,0.49,9.04,0.03,-0.02,0.0
827031,-1.06,0.49,9.05,0.03,-0.01,0.01
827041,-1.07,0.51,9.08,0.03,-0.01,0.01
827051,-1.08,0.51,9.08,0.03,-0.0,0.01
827061,-1.08,0.51,9.08,0.03,-0.0,0.01
827071,-1.12,0.51,9.09,0.03,-0.01,0.01
827081,-1.11,0.51,9.05,0.03,-0.01,0.0
827091,-1.1,0.53,9.08,0.03,-0.01,0.0
827101,-1.08,0.53,9.05,0.03,-0.01,0.0
827111,-1.09,0.52,9.06,0.03,-0.01,0.0
827121,-1.08,0.51,9.1,0.03,-0.01,0.0
827131,-1.08,0.53,9.08,0.03,-0.01,0.0
827141,-1.06,0.51,9.08,0.03,-0.01,0.01
827151,-1.06,0.52,9.08,0.03,-0.01,0.0
827161,-1.08,0.5,9.07,0.03,-0.01,0.0
827171,-1.11,0.51,9.07,0.03,-0.0,0.0
827181,-1.12,0.51,9.05,0.03,-0.01,0.0
827191,-1.12,0.5,9.06,0.03,-0.01,0.0
827201,-1.1,0.49,9.06,0.03,-0.01,0.01
827211,-1.1,0.49,9.1,0.03,-0.02,0.0
827221,-1.09,0.51,9.09,0.03,-0.01,0.0
827231,-1.08,0.49,9.08,0.03,-0.01,0.0
827241,-1.09,0.5,9.12,0.03,-0.01,0.0
827251,-1.09,0.51,9.09,0.03,-0.01,0.0
827261,-1.09,0.5,9.11,0.03,-0.01,0.0
827271,-1.07,0.49,9.09,0.03,-0.01,0.0
827281,-1.07,0.49,9.06,0.03,-0.01,0.0
827291,-1.09,0.5,9.07,0.03,-0.01,0.0
827301,-1.06,0.52,9.09,0.03,-0.01,0.0
827311,-1.08,0.5,9.09,0.03,-0.01,0.0
827321,-1.08,0.53,9.1,0.03,-0.01,0.01
827331,-1.09,0.51,9.06,0.03,-0.01,0.0
827341,-1.09,0.52,9.08,0.03,-0.01,0.0
827351,-1.1,0.5,9.07,0.03,-0.01,0.0
827361,-1.08,0.52,9.07,0.03,-0.01,0.0
827371,-1.11,0.51,9.11,0.03,-0.01,0.0
827381,-1.08,0.51,9.11,0.03,-0.02,0.0
827391,-1.06,0.52,9.1,0.03,-0.01,0.0
827401,-1.07,0.51,9.07,0.03,-0.01,0.0
827411,-1.08,0.51,9.07,0.03,-0.01,0.0
827421,-1.08,0.49,9.05,0.03,-0.01,0.0
827431,-1.08,0.49,9.08,0.03,-0.01,0.0
827441,-1.1,0.49,9.06,0.03,-0.01,0.0
827451,-1.09,0.49,9.04,0.03,-0.01,0.0
827461,-1.09,0.52,9.06,0.03,-0.01,0.0
827471,-1.09,0.51,9.06,0.03,-0.01,0.0
827481,-1.07,0.53,9.05,0.03,-0.01,0.01
827491,-1.08,0.53,9.05,0.03,-0.01,0.01
827501,-1.08,0.53,9.06,0.03,-0.01,0.01
827511,-1.11,0.53,9.05,0.03,-0.01,0.0
827521,-1.12,0.51,9.08,0.03,-0.01,0.0
827531,-1.11,0.5,9.06,0.03,-0.01,0.0
827541,-1.09,0.48,9.08,0.03,-0.02,0.0
827551,-1.08,0.47,9.06,0.03,-0.02,0.0
827561,-1.08,0.48,9.09,0.03,-0.01,0.0
827571,-1.08,0.46,9.1,0.03,-0.01,0.0
