Variance,Std_Dev,Label_R
0.000296,0.017204651,0.01
0.000341,0.018466185,0.01
0.000301,0.017349352,0.01
0.000301,0.017349352,0.01
0.000256,0.016,0.01
0.000261,0.016155494,0.01
0.000304,0.017435596,0.01
0.000361,0.019,0.01
0.000361,0.019,0.01
0.000329,0.018138357,0.01
0.000329,0.018138357,0.01
0.00028,0.016733201,0.01
0.000249,0.015779734,0.01
0.000276,0.016613248,0.01
0.000381,0.019519221,0.01
0.000389,0.019723083,0.01
0.000296,0.017204651,0.01
0.000185,0.013601471,0.01
0.000144,0.012,0.01
0.000121,0.011,0.01
0.000104,0.010198039,0.01
0.000121,0.011,0.01
0.00016,0.012649111,0.01
0.000196,0.014,0.01
0.000145,0.012041595,0.01
0.000145,0.012041595,0.01
0.000145,0.012041595,0.01
0.000196,0.014,0.01
0.00016,0.012649111,0.01
0.00016,0.012649111,0.01
0.000196,0.014,0.01
0.0002,0.014142136,0.01
0.000184,0.01356466,0.01
0.000161,0.012688578,0.01
0.000156,0.012489996,0.01
0.000225,0.015,0.01
0.000281,0.016763055,0.01
0.000209,0.014456832,0.01
0.0002,0.014142136,0.01
0.000209,0.014456832,0.01
0.000116,0.01077033,0.01
0.000144,0.012,0.01
0.000144,0.012,0.01
0.000201,0.014177447,0.01
0.000209,0.014456832,0.01
0.0002,0.014142136,0.01
0.000221,0.014866069,0.01
0.000189,0.013747727,0.01
0.000261,0.016155494,0.01
0.000304,0.017435596,0.01
0.000304,0.017435596,0.01
0.000284,0.0168523,0.01
0.000296,0.017204651,0.01
0.000345,0.018574176,0.01
0.00022,0.014832397,0.01
0.000204,0.014282857,0.01
0.000204,0.014282857,0.01
0.000204,0.014282857,0.01
0.000201,0.014177447,0.01
0.000356,0.018867962,0.01
0.000356,0.018867962,0.01
0.000485,0.022022716,0.01
0.000485,0.022022716,0.01
0.000349,0.018681542,0.01
0.00032,0.017888544,0.01
0.000221,0.014866069,0.01
0.000221,0.014866069,0.01
0.000244,0.015620499,0.01
0.000224,0.01496663,0.01
